,Unnamed: 0,user,date,text,location,coordinates
42,42,ManPantsLive,Mon Jul 22 21:02:36 +0000 2019,@united @AvoriLiz I respect the hustle to be a United Airlines support person. Y’all most take the most heat in human history.,"Los Angeles, CA",
43,43,docjdavid,Mon Jul 22 20:57:05 +0000 2019,"RT @LukeatUnited: Taking care of business for every customer, on every flight, every day. https://t.co/6ydGwJZ3OA",Lincoln Nebraska USA,
44,44,docjdavid,Mon Jul 22 20:56:04 +0000 2019,RT @LukeatUnited: Doing the best at evolving to fit the needs of our customers!  https://t.co/ssXUKfnqbW #BeingUnited,Lincoln Nebraska USA,
45,45,GPikSmash,Mon Jul 22 20:55:51 +0000 2019,"United Airlines just tried to finesse about $100 more for a round trip in hidden fees, $70 to get to use overhead s… https://t.co/sccyFitBDe",,
46,46,jeops85,Mon Jul 22 20:52:48 +0000 2019,"I don’t typically do this but, I’m extremely disappointed in the United Airline Customer service.  I had a schedule… https://t.co/9PzSinBFez",,
47,47,Frankhavemercy,Mon Jul 22 20:49:56 +0000 2019,Bruh united airlines is basically spirit.,,
48,48,typaro,Mon Jul 22 20:35:43 +0000 2019,Just so y’all know im stuck in DC... I hated United Airlines.. hate hate hate,"Houston, TX",
49,49,iPhone__Fashion,Mon Jul 22 20:31:44 +0000 2019,Charlotte NC to San Jose CA or Vice Versa $156 RT Airfares on American &amp; United Airlines BE (Travel Aug-May 2020) https://t.co/ohOoBWbTg9,,
50,50,TravelinsCenter,Mon Jul 22 20:30:24 +0000 2019,Catching z's on a long flight? These US airlines provide amenity kits to help flyers relax https://t.co/ot0dRcPeSP… https://t.co/lTSogZr8dX,"Omaha, NE",
51,51,ailed888,Mon Jul 22 20:26:47 +0000 2019,@MrAndyNgo @DonaldJTrumpJr @itsericathomas Reminds me of Rep. Sheila Jackson Lee who took someone’s first class seat on United Airlines,,
52,52,ailed888,Mon Jul 22 20:23:48 +0000 2019,"@SandraFortenbe3 @MrAndyNgo @itsericathomas Another entitled politician, just like Rep. Sheila Jackson Lee who took… https://t.co/nBGnrZbzPj",,
53,53,iuY0jx47oBZfIlO,Mon Jul 22 20:22:08 +0000 2019,RT @gittinsj: @united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek #planespotting h…,,
54,54,ilamericano,Mon Jul 22 20:19:39 +0000 2019,RT @ilamericano: Dear President Trump @realDonaldTrump Please note that Twitter will not allow me to post the factual events of what happen…,,
55,55,ilamericano,Mon Jul 22 20:18:10 +0000 2019,"RT @ilamericano: When my father, William Henry Brainerd, was my age today, he was United Airlines Captain of the B-727, responsible for all…",,
56,56,PlaneSpotIsCool,Mon Jul 22 20:16:31 +0000 2019,RT @gittinsj: @united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek #planespotting h…,Worldwide,
57,57,WDenkiewicz,Mon Jul 22 20:13:46 +0000 2019,"""We feel so passionately that you need to watch the safety video every time you're on the plane,"" said Mark Krolick… https://t.co/iQ1MDnmfUN",,
58,58,gittinsj,Mon Jul 22 20:05:47 +0000 2019,@united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek… https://t.co/5eOD0I0ZaT,"Bay City, MI",
